id;nombre_de_documento;fecha_subida;documento;documento_content_type;observacion;ruta;privado
1;non-volatile;2020-12-17;../fake-data/blob/hipster.png;image/png;mobile;Buckinghamshire Shoals hacking;true
2;invoice withdrawal;2020-12-17;../fake-data/blob/hipster.png;image/png;wireless;alliance sky blue;true
3;Gabon;2020-12-17;../fake-data/blob/hipster.png;image/png;Missouri Borders PNG;Web;true
4;SCSI IB;2020-12-16;../fake-data/blob/hipster.png;image/png;impactful Lead olive;Georgia;false
5;Cotton;2020-12-17;../fake-data/blob/hipster.png;image/png;navigating SAS;program;false
6;Associate;2020-12-17;../fake-data/blob/hipster.png;image/png;Investment Account Keyboard;Fish;true
7;Senior;2020-12-17;../fake-data/blob/hipster.png;image/png;Assistant;Agent;true
8;Chief Applications withdrawal;2020-12-17;../fake-data/blob/hipster.png;image/png;Idaho;Soft;true
9;web-enabled Glen;2020-12-17;../fake-data/blob/hipster.png;image/png;Total Future;Auto Loan Account;false
10;Handcrafted Metal Soap index Granite;2020-12-17;../fake-data/blob/hipster.png;image/png;Savings Account transmit;Tennessee;true
